Hull Type,Rigging Type,LOA,LWL,Beam,S.A. (reported),Draft (max),Displacement,Ballast,S.A./Disp.,Bal./Disp.,Disp./Len.,Construction,Ballast Type,First Built,# Built,Designer,Comfort Ratio,Capsize Screening Formula,S#,I,J,P,E,SPL/TPS,ISP,S.A. Fore,S.A. Main,S.A./Disp. (calc.),Est. Forestay Len.,Download Boat Record,name,img_path,Draft (min),Builder,Model,Last Built,Make,Type,HP,Fuel,Headroom,Water,Website,KSP,PY,EY,Bridgedeck Clearance,Mast Height from DWL,Bruce Number
Fin with rudder on skeg,Fractional  Sloop,9.09 m,6.86 m,1.78 m,28.34 m<sup>2</sup>,1.17 m,"1,043 kg",519 kg,28.07,49.78,90.14,Ply with single chine or FG,Iron,1946,460,C. Raymond Hunt,13.73,1.77,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/210/pdf"">PDF</a>",210,00015.jpg,,Graves Yacht Yard (USA),,,,,,,,,,,,,,,
Centerboard Dinghy,Fractional  Sloop,4.40 m,,1.70 m,13.19 m<sup>2</sup>,0.70 m,90 kg,,66.92,,,FG,,1998,,Julian Bethwaite,,3.83,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/29er/pdf"">PDF</a>",29ER,00016.jpg,,Several under License,,,,,,,,,,,,,,,
Centerboard Dinghy,Fractional  Sloop,4.40 m,,1.70 m,13.19 m<sup>2</sup>,0.70 m,90 kg,,66.92,,,FG,,1998,,Julian Bethwaite,,3.83,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/29er/pdf"">PDF</a>",29ER,00017.jpg,,Several under License,,,,,,,,,,,,,,,
Centerboard Dinghy,Cat (Marconi),3.70 m,,1.52 m,8.73 m<sup>2</sup>,,48 kg,,67.17,,,FG,,1971,,Bruce Farr,,4.22,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/37-farr/pdf"">PDF</a>",3.7 (FARR),00018.jpg,,,,,,,,,,,,,,,,,
Centerboard Dinghy,Cat (Marconi),3.70 m,,1.52 m,8.73 m<sup>2</sup>,,48 kg,,67.17,,,FG,,1971,,Bruce Farr,,4.22,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/37-farr/pdf"">PDF</a>",3.7 (FARR),00019.jpg,,,,,,,,,,,,,,,,,
Centerboard Dinghy,Fractional  Sloop,3.90 m,,1.54 m,8.45 m<sup>2</sup>,0.53 m,80 kg,,46.39,,,FG,,1968,,Christian Maury,,3.61,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/390-lanaverre/pdf"">PDF</a>",390 (LANAVERRE),00020.jpg,0.10 m,Lanaverre (FRA),,,,,,,,,,,,,,,
Centerboard Dinghy,Fractional  Sloop,3.90 m,,1.54 m,8.45 m<sup>2</sup>,0.53 m,80 kg,,46.39,,,FG,,1968,,Christian Maury,,3.61,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/390-lanaverre/pdf"">PDF</a>",390 (LANAVERRE),00021.jpg,0.10 m,Lanaverre (FRA),,,,,,,,,,,,,,,
Centerboard Dinghy,Fractional  Sloop,4.05 m,3.93 m,1.38 m,7.98 m<sup>2</sup>,0.09 m,64 kg,,50.76,,29.32,FG,,1992,200,Chris Benedict,2.23,3.48,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/405-hobie/pdf"">PDF</a>",405 (HOBIE),00022.jpg,0.27 m,Hobie Cat / Ultimate Sailboats (USA),,,,,,,,,,,,,,,
Centerboard Dinghy,Fractional  Sloop,4.20 m,4.01 m,1.65 m,13.01 m<sup>2</sup>,0.97 m,100 kg,,61.52,,42.99,FG,,1959,56000,Christian Maury,2.68,3.59,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/420/pdf"">PDF</a>",420,00023.jpg,0.15 m,Various,,,,,,,,,,,,,,,
Centerboard Dinghy,Fractional  Sloop,4.20 m,4.01 m,1.65 m,13.01 m<sup>2</sup>,0.97 m,100 kg,,61.52,,42.99,FG,,1959,56000,Christian Maury,2.68,3.59,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/420/pdf"">PDF</a>",420,00024.jpg,0.15 m,Various,,,,,,,,,,,,,,,
Centerboard Dinghy,Fractional  Sloop,4.70 m,4.44 m,1.68 m,12.73 m<sup>2</sup>,0.97 m,122 kg,,52.65,,38.75,FG,,1963,,André Cornu,2.89,3.41,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/470/pdf"">PDF</a>",470,00025.jpg,0.15 m,Various,,,,,,,,,,,,,,,
Centerboard Dinghy,Fractional  Sloop,4.70 m,4.44 m,1.68 m,12.73 m<sup>2</sup>,0.97 m,122 kg,,52.65,,38.75,FG,,1963,,André Cornu,2.89,3.41,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/470/pdf"">PDF</a>",470,00026.jpg,0.15 m,Various,,,,,,,,,,,,,,,
Centerboard Dinghy,Fractional  Sloop,4.90 m,4.48 m,1.74 m,14.40 m<sup>2</sup>,1.16 m,127 kg,,58.00,,39.35,FG or Wood,,1968,,Christian Maury,2.82,3.49,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/490/pdf"">PDF</a>",490,00027.jpg,,Various,,,,,,,,,,,,,,,
Centerboard Dinghy,Fractional  Sloop,4.88 m,,1.93 m,21.27 m<sup>2</sup>,1.50 m,122 kg,,87.79,,,FG,,1999,,Julian Bethwaite,,3.92,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/49er/pdf"">PDF</a>",49ER,00028.jpg,,,,,,,,,,,,,,,,,
Centerboard Dinghy,Fractional  Sloop,4.88 m,,1.93 m,21.27 m<sup>2</sup>,1.50 m,122 kg,,87.79,,,FG,,1999,,Julian Bethwaite,,3.92,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/49er/pdf"">PDF</a>",49ER,00029.jpg,,,,,,,,,,,,,,,,,
Centerboard Dinghy,Fractional  Sloop,4.88 m,,1.93 m,19.23 m<sup>2</sup>,1.50 m,122 kg,,79.36,,,FG,,2010,,Julian Bethwaite,,3.92,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/49erfx/pdf"">PDF</a>",49ERFX,00030.jpg,,,,,,,,,,,,,,,,,
Centerboard Dinghy,Fractional  Sloop,4.88 m,,1.93 m,19.23 m<sup>2</sup>,1.50 m,122 kg,,79.36,,,FG,,2010,,Julian Bethwaite,,3.92,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/49erfx/pdf"">PDF</a>",49ERFX,00031.jpg,,,,,,,,,,,,,,,,,
Fin Keel,Fractional  Sloop,9.91 m,7.01 m,1.98 m,28.80 m<sup>2</sup>,1.35 m,"1,814 kg",,19.74,,146.77,Wood/FG,Lead,1949,800,Various,19.75,1.64,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/55-meter/pdf"">PDF</a>",5.5 METER,00032.jpg,,,,,,,,,,,,,,,,,
Centerboard Dinghy,Fractional  Sloop,5.03 m,4.57 m,1.88 m,16.26 m<sup>2</sup>,1.42 m,127 kg,,65.49,,37.04,Wood/FG,,1954,9100,John Westell/Austin Farrar ,2.47,3.78,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/505/pdf"">PDF</a>",505,00033.jpg,0.15 m,Various,,,,,,,,,,,,,,,
Centerboard Dinghy,Fractional  Sloop,5.03 m,4.57 m,1.88 m,16.26 m<sup>2</sup>,1.42 m,127 kg,,65.49,,37.04,Wood/FG,,1954,9100,John Westell/Austin Farrar ,2.47,3.78,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/505/pdf"">PDF</a>",505,00034.jpg,0.15 m,Various,,,,,,,,,,,,,,,
Swing Keel,Fractional  Sloop,5.15 m,4.75 m,1.86 m,11.61 m<sup>2</sup>,1.08 m,355 kg,80 kg,23.58,22.48,92.43,FG,,1970,450,Christian Maury,6.81,2.65,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/510-lanaverre/pdf"">PDF</a>",510 (LANAVERRE),00035.jpg,0.19 m,Lanaverre (FRA),,1975,,,,,,,www.facebook.com/Lanaverre510,,,,,,
Centerboard (Trunk),Fractional  Sloop,5.15 m,4.65 m,1.86 m,11.98 m<sup>2</sup>,1.08 m,360 kg,,24.11,,99.75,FG,,1976,,Christian Maury,7.00,2.64,5.36,4.60 m,2.35 m,5.50 m,2.38 m,,,5.41 m<sup>2</sup>,6.54 m<sup>2</sup>,24.05,5.17 m,"<a class="""" href=""https://sailboatdata.com/sailboat/517/pdf"">PDF</a>",517,00036.jpg,0.20 m,,,,,,,,,,,,,,,,
Keel/Cbrd.,Fractional  Sloop,5.95 m,,2.05 m,17.19 m<sup>2</sup>,1.25 m,550 kg,140 kg,26.08,25.47,,FG,,1963,2000,Maury/Sergent,,2.53,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/590-lanaverre/pdf"">PDF</a>",590 (LANAVERRE),00037.jpg,0.50 m,Lanaverre (FRA),,,,,,,,,,,,,,,
Keel/Cbrd.,Fractional  Sloop,5.95 m,,2.05 m,17.19 m<sup>2</sup>,1.25 m,550 kg,140 kg,26.08,25.47,,FG,,1963,2000,Maury/Sergent,,2.53,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/590-lanaverre/pdf"">PDF</a>",590 (LANAVERRE),00038.jpg,0.50 m,Lanaverre (FRA),,,,,,,,,,,,,,,
Centerboard Dinghy,Fractional  Sloop,4.80 m,,2.00 m,13.94 m<sup>2</sup>,1.50 m,75 kg,,79.83,,,FG,,1998,,Bethwaite Design/Frank Bethwaite,,4.79,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/59er/pdf"">PDF</a>",59ER,00039.jpg,,Ovington Boats,,2005,,,,,,,,,,,,,
Long Keel,Fractional  Sloop,11.20 m,7.20 m,2.00 m,40.97 m<sup>2</sup>,1.60 m,"3,856 kg",,17.00,,287.99,,,1907,1200,Various,38.89,1.29,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/6-meter-international/pdf"">PDF</a>",6-METER (INTERNATIONAL),00040.jpg,,,,,,,,,,,,,,,,,
Full keel with attached rudder,Masthead Sloop,10.40 m,7.65 m,3.03 m,46.00 m<sup>2</sup>,1.38 m,"6,460 kg",,13.53,,402.07,GRP,,1959,,Anton Miglitsch,37.15,1.64,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/65-kr-2/pdf"">PDF</a>",6.5 KR-2,00041.jpg,,,,,Mercedes Benz,Diesel,34,,,,,,,,,,
Foiling Monohull,Fractional  Sloop,6.90 m,6.83 m,2.10 m,38.40 m<sup>2</sup>,0.14 m,446 kg,,67.02,,38.99,Carbon fiber,,2020,,Wilson-Marquinez (ARG),5.16,2.77,,9.22 m,3.17 m,10.17 m,3.38 m,,,14.61 m<sup>2</sup>,17.19 m<sup>2</sup>,55.50,9.75 m,"<a class="""" href=""https://sailboatdata.com/sailboat/69f/pdf"">PDF</a>",69F,00042.jpg,,Persico Marine (ITA),,,,,,,,,,,,,,,
Fin w/transom hung rudder,Fractional  Sloop,7.07 m,5.80 m,2.05 m,21.18 m<sup>2</sup>,1.35 m,900 kg,540 kg,23.16,59.98,128.52,FG,Iron,1977,130,Gösta & Gunnar Edwardsson,11.92,2.14,4.60,8.00 m,2.50 m,8.25 m,2.70 m,,,10.00 m<sup>2</sup>,11.14 m<sup>2</sup>,23.11,8.38 m,"<a class="""" href=""https://sailboatdata.com/sailboat/707-edwardsson/pdf"">PDF</a>",707 (EDWARDSSON),00043.jpg,,Kvarnfallets Varv (SWE),,1982,,,,,,,,,,,,,
Fin w/transom hung rudder,Fractional  Sloop,7.07 m,5.80 m,2.05 m,21.18 m<sup>2</sup>,1.35 m,900 kg,540 kg,23.16,59.98,128.52,FG,Iron,1977,130,Gösta & Gunnar Edwardsson,11.92,2.14,4.60,8.00 m,2.50 m,8.25 m,2.70 m,,,10.00 m<sup>2</sup>,11.14 m<sup>2</sup>,23.11,8.38 m,"<a class="""" href=""https://sailboatdata.com/sailboat/707-edwardsson/pdf"">PDF</a>",707 (EDWARDSSON),00044.jpg,,Kvarnfallets Varv (SWE),,1982,,,,,,,,,,,,,
Lifting Keel,Fractional  Sloop,7.22 m,7.01 m,2.53 m,29.73 m<sup>2</sup>,1.51 m,898 kg,415 kg,32.55,46.21,72.65,FG,Iron,1995,120,David Thomas,7.87,2.65,,,,,3.76 m,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/707-thomas/pdf"">PDF</a>",707 (THOMAS),00045.jpg,,Hunter Boats (UK),,,,,,,,,,,,,,,
Lifting Keel,Fractional  Sloop,7.22 m,7.01 m,2.53 m,29.73 m<sup>2</sup>,1.51 m,898 kg,415 kg,32.55,46.21,72.65,FG,Iron,1995,120,David Thomas,7.87,2.65,,,,,3.76 m,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/707-thomas/pdf"">PDF</a>",707 (THOMAS),00046.jpg,,Hunter Boats (UK),,,,,,,,,,,,,,,
Lifting Keel,Fractional  Sloop,8.00 m,6.99 m,2.49 m,38.74 m<sup>2</sup>,1.70 m,"1,100 kg",175 kg,37.05,15.88,89.79,FG,Lead,1993,,J&J Yacht Design/Doug Peterson,9.54,2.44,7.02,10.06 m,3.16 m,10.45 m,3.80 m,3.70 m,,15.90 m<sup>2</sup>,19.86 m<sup>2</sup>,34.20,10.54 m,"<a class="""" href=""https://sailboatdata.com/sailboat/8m-one-design/pdf"">PDF</a>",8M ONE DESIGN,00047.jpg,0.80 m,Shipman (HUN),,,,,,,,,,,,,,,
Fin w/bulb & spade rudder,Fractional  Sloop,8.35 m,7.25 m,2.98 m,42.46 m<sup>2</sup>,1.65 m,"2,155 kg",800 kg,25.95,37.14,157.49,FG (foam sandwich),,2014,,Joubert - Nivelt,14.16,2.33,4.03,10.67 m,3.10 m,10.90 m,3.85 m,4.60 m,11.25 m,16.53 m<sup>2</sup>,20.98 m<sup>2</sup>,22.93,11.11 m,"<a class="""" href=""https://sailboatdata.com/sailboat/a-27-archambault/pdf"">PDF</a>",A 27 (ARCHAMBAULT),00048.jpg,,Archambault (FRA),,,,,,,,,,,,,,,
Fin w/bulb & spade rudder,Fractional  Sloop,8.35 m,7.25 m,2.98 m,42.46 m<sup>2</sup>,1.65 m,"2,155 kg",800 kg,25.95,37.14,157.49,FG (foam sandwich),,2014,,Joubert - Nivelt,14.16,2.33,4.03,10.67 m,3.10 m,10.90 m,3.85 m,4.60 m,11.25 m,16.53 m<sup>2</sup>,20.98 m<sup>2</sup>,22.93,11.11 m,"<a class="""" href=""https://sailboatdata.com/sailboat/a-27-archambault/pdf"">PDF</a>",A 27 (ARCHAMBAULT),00049.jpg,,Archambault (FRA),,,,,,,,,,,,,,,
Fin w/spade rudder,Fractional (9/10) Sloop,10.59 m,9.29 m,3.55 m,67.50 m<sup>2</sup>,2.10 m,"4,450 kg","1,990 kg",25.45,44.72,154.68,GRP Sandwich resin infusion,Lead,2006,,Joubert-Nivelt,18.14,2.18,4.00,13.48 m,4.10 m,13.73 m,4.59 m,,,27.63 m<sup>2</sup>,31.52 m<sup>2</sup>,22.30,14.09 m,"<a class="""" href=""https://sailboatdata.com/sailboat/a-35-archambault/pdf"">PDF</a>",A 35 (ARCHAMBAULT),00050.jpg,,Archambault Boats (FRA),3.21 SD10,2013,Nanni,Diesel,21,50 L,1.85 m,100 L,,,,,,,
Catamaran Twin Dbrd.,Cat (rotating spar),5.49 m,5.49 m,2.29 m,13.94 m<sup>2</sup>,,75 kg,,79.83,,12.63,Wood/FG/Composite,,1962,,,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/a-class-catamaran/pdf"">PDF</a>",A CLASS CATAMARAN,00051.jpg,,,,,,,,,,,,2.02,,,,,
Scow Twin Cbrd.,Fractional  Sloop,11.58 m,,2.44 m,51.10 m<sup>2</sup>,1.22 m,839 kg,,58.53,,,Wood or FG,,1901,,John O. Johnson,,2.61,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/a-scow/pdf"">PDF</a>",A SCOW,00052.jpg,0.30 m,Melges Boat Works (USA),,,,,,,,,,,,,,,
Catamaran Twin Cbrd.,Cat (Marconi),5.49 m,,2.29 m,13.94 m<sup>2</sup>,0.76 m,136 kg,,53.61,,,FG,,1967,,Jerry and David Hubbard,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/a-lion/pdf"">PDF</a>",A-LION,00053.jpg,0.15 m,American Fiberglass Corp. (USA),,,,,,,,,,N/A,,,,,
Fin w/transom hung rudder,Masthead Sloop,6.71 m,5.72 m,2.29 m,21.46 m<sup>2</sup>,1.17 m,"1,406 kg",703 kg,17.43,50.00,209.95,FG,,1977,,Ian Proctor /Abbott,16.58,2.06,2.64,8.53 m,2.99 m,7.16 m,2.44 m,,,12.75 m<sup>2</sup>,8.73 m<sup>2</sup>,17.44,9.04 m,"<a class="""" href=""https://sailboatdata.com/sailboat/abbott-22/pdf"">PDF</a>",ABBOTT 22,00054.jpg,,Abbott Boats Inc. (CAN),,,,,,,,19 L,,,,,,,
Fin w/transom hung rudder,Masthead Sloop,8.33 m,6.93 m,2.74 m,33.07 m<sup>2</sup>,1.50 m,"2,722 kg","1,225 kg",17.30,45.00,227.49,FG w/balsa core hull & deck,,1986,,Bill Abbott Sr.,20.59,1.98,2.43,10.44 m,3.35 m,8.84 m,3.51 m,,,17.50 m<sup>2</sup>,15.49 m<sup>2</sup>,17.26,10.96 m,"<a class="""" href=""https://sailboatdata.com/sailboat/abbott-27/pdf"">PDF</a>",ABBOTT 27,00055.jpg,,Abbott Boats Inc. (CAN),,,,,,,,,,,,,,,
Fin w/spade rudder,Fractional  Sloop,10.15 m,8.21 m,2.50 m,40.13 m<sup>2</sup>,1.65 m,"2,747 kg","1,499 kg",20.86,54.55,138.61,FG,,1980,40,Jan Larsen/Abbott,19.65,1.80,4.10,10.97 m,3.51 m,11.75 m,3.55 m,,,19.23 m<sup>2</sup>,20.86 m<sup>2</sup>,20.84,11.52 m,"<a class="""" href=""https://sailboatdata.com/sailboat/abbott-33/pdf"">PDF</a>",ABBOTT 33,00056.jpg,,Abbott Boats (CAN),,,,,,,,57 L,,,,,,,
Fin w/spade rudder,Fractional  Sloop,10.15 m,8.21 m,2.50 m,40.13 m<sup>2</sup>,1.65 m,"2,747 kg","1,499 kg",20.86,54.55,138.61,FG,,1980,40,Jan Larsen/Abbott,19.65,1.80,4.10,10.97 m,3.51 m,11.75 m,3.55 m,,,19.23 m<sup>2</sup>,20.86 m<sup>2</sup>,20.84,11.52 m,"<a class="""" href=""https://sailboatdata.com/sailboat/abbott-33/pdf"">PDF</a>",ABBOTT 33,00057.jpg,,Abbott Boats (CAN),,,,,,,,57 L,,,,,,,
Fin w/spade rudder,Fractional  Sloop,11.05 m,8.84 m,3.05 m,51.93 m<sup>2</sup>,1.83 m,"4,536 kg","2,030 kg",19.33,44.75,183.05,FG Foam Core,Lead,1985,,Bill Abbott Sr.,23.08,1.86,3.20,12.17 m,3.89 m,12.80 m,4.42 m,,,23.64 m<sup>2</sup>,28.29 m<sup>2</sup>,19.33,12.77 m,"<a class="""" href=""https://sailboatdata.com/sailboat/abbott-36/pdf"">PDF</a>",ABBOTT 36,00058.jpg,,Abbott Boats Ltd. (CAN),,,Volvo,Diesel,18,38 L,,189 L,,,,,,,
