Hull Type,Rigging Type,LOA,LWL,Beam,S.A. (reported),Draft (max),Displacement,Ballast,S.A./Disp.,Bal./Disp.,Disp./Len.,Construction,Ballast Type,First Built,# Built,Designer,Comfort Ratio,Capsize Screening Formula,S#,I,J,P,E,SPL/TPS,ISP,S.A. Fore,S.A. Main,S.A./Disp. (calc.),Est. Forestay Len.,Download Boat Record,name,img_path,Draft (min),Builder,Model,Last Built,Make,Type,HP,Fuel,Headroom,Water,Website,KSP,PY,EY,Bridgedeck Clearance,Mast Height from DWL,Bruce Number,image_hash
12,13,4.63,,1.69,6.97,1.0,160.0,,24.05,,,86,-1,2000.0,,-1,,3.14,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/2-kronan/pdf"">PDF</a>",12,00010.jpg,0.15,Krona Boats (SWE),,,,,,,,,,,,,,,,687c7e7edac49400
12,13,4.63,,1.69,6.97,1.0,160.0,,24.05,,,86,-1,2000.0,,-1,,3.14,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/2-kronan/pdf"">PDF</a>",12,00011.jpg,0.15,Krona Boats (SWE),,,,,,,,,,,,,,,,f7e7d3d3918000ff
23,13,4.11,3.66,0.81,7.43,0.99,272.0,159.0,18.02,58.33,155.01,86,57,1986.0,,2186,20.28,1.26,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/24-meter/pdf"">PDF</a>",13,00012.jpg,,Various,,,,,,,,,,,,,,,,fffbd860303834c1
23,13,4.11,3.66,0.81,7.43,0.99,272.0,159.0,18.02,58.33,155.01,86,57,1986.0,,2186,20.28,1.26,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/24-meter/pdf"">PDF</a>",13,00013.jpg,,Various,,,,,,,,,,,,,,,,ffe7e7ebefef00e1
25,13,9.09,6.86,1.78,28.34,1.17,1043.0,519.0,28.07,49.78,90.14,422,41,1946.0,460.0,311,13.73,1.77,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/210/pdf"">PDF</a>",2,00014.jpg,,Graves Yacht Yard (USA),,,,,,,,,,,,,,,,ffffffffe44a0000
25,13,9.09,6.86,1.78,28.34,1.17,1043.0,519.0,28.07,49.78,90.14,422,41,1946.0,460.0,311,13.73,1.77,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/210/pdf"">PDF</a>",2,00015.jpg,,Graves Yacht Yard (USA),,,,,,,,,,,,,,,,f7f7e3d3d3f30081
10,13,4.4,,1.7,13.19,0.7,90.0,,66.92,,,86,-1,1998.0,,1317,,3.83,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/29er/pdf"">PDF</a>",14,00016.jpg,,Several under License,,,,,,,,,,,,,,,,ffffefffe3000000
10,13,4.4,,1.7,13.19,0.7,90.0,,66.92,,,86,-1,1998.0,,1317,,3.83,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/29er/pdf"">PDF</a>",14,00017.jpg,,Several under License,,,,,,,,,,,,,,,,df8fc3c3e18020ff
10,4,3.7,,1.52,8.73,,48.0,,67.17,,,86,-1,1971.0,,271,,4.22,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/37-farr/pdf"">PDF</a>",15,00018.jpg,,,,,,,,,,,,,,,,,,fff0202276770f9f
10,4,3.7,,1.52,8.73,,48.0,,67.17,,,86,-1,1971.0,,271,,4.22,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/37-farr/pdf"">PDF</a>",15,00019.jpg,,,,,,,,,,,,,,,,,,f7e7f3d3f3e300ef
10,13,3.9,,1.54,8.45,0.53,80.0,,46.39,,,86,-1,1968.0,,411,,3.61,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/390-lanaverre/pdf"">PDF</a>",16,00020.jpg,0.1,Lanaverre (FRA),,,,,,,,,,,,,,,,f7f7e7e7e72c8180
10,13,3.9,,1.54,8.45,0.53,80.0,,46.39,,,86,-1,1968.0,,411,,3.61,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/390-lanaverre/pdf"">PDF</a>",16,00021.jpg,0.1,Lanaverre (FRA),,,,,,,,,,,,,,,,efe7cbcbcdc100e4
10,13,4.05,3.93,1.38,7.98,0.09,64.0,,50.76,,29.32,86,-1,1992.0,200.0,399,2.23,3.48,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/405-hobie/pdf"">PDF</a>",17,00022.jpg,0.27,Hobie Cat / Ultimate Sailboats (USA),,,,,,,,,,,,,,,,fffffffd08000cfe
10,13,4.2,4.01,1.65,13.01,0.97,100.0,,61.52,,42.99,86,-1,1959.0,56000.0,411,2.68,3.59,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/420/pdf"">PDF</a>",3,00023.jpg,0.15,Various,,,,,,,,,,,,,,,,fcfcfc7e1a830000
10,13,4.2,4.01,1.65,13.01,0.97,100.0,,61.52,,42.99,86,-1,1959.0,56000.0,411,2.68,3.59,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/420/pdf"">PDF</a>",3,00024.jpg,0.15,Various,,,,,,,,,,,,,,,,e7e7dbffb037e300
10,13,4.7,4.44,1.68,12.73,0.97,122.0,,52.65,,38.75,86,-1,1963.0,,109,2.89,3.41,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/470/pdf"">PDF</a>",4,00025.jpg,0.15,Various,,,,,,,,,,,,,,,,ffffff7f7dbb0000
10,13,4.7,4.44,1.68,12.73,0.97,122.0,,52.65,,38.75,86,-1,1963.0,,109,2.89,3.41,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/470/pdf"">PDF</a>",4,00026.jpg,0.15,Various,,,,,,,,,,,,,,,,efefe7dfffff0081
10,13,4.9,4.48,1.74,14.4,1.16,127.0,,58.0,,39.35,159,-1,1968.0,,411,2.82,3.49,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/490/pdf"">PDF</a>",5,00027.jpg,,Various,,,,,,,,,,,,,,,,fffffffffa020000
10,13,4.88,,1.93,21.27,1.5,122.0,,87.79,,,86,-1,1999.0,,1317,,3.92,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/49er/pdf"">PDF</a>",18,00028.jpg,,,,,,,,,,,,,,,,,,fff3c7c7cf6f0000
10,13,4.88,,1.93,21.27,1.5,122.0,,87.79,,,86,-1,1999.0,,1317,,3.92,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/49er/pdf"">PDF</a>",18,00029.jpg,,,,,,,,,,,,,,,,,,9f5f4f4f0f00c78f
10,13,4.88,,1.93,19.23,1.5,122.0,,79.36,,,86,-1,2010.0,,1317,,3.92,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/49erfx/pdf"">PDF</a>",19,00030.jpg,,,,,,,,,,,,,,,,,,fffefffffe000000
10,13,4.88,,1.93,19.23,1.5,122.0,,79.36,,,86,-1,2010.0,,1317,,3.92,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/49erfx/pdf"">PDF</a>",19,00031.jpg,,,,,,,,,,,,,,,,,,f9f1e1c18380c1ff
16,13,9.91,7.01,1.98,28.8,1.35,1814.0,,19.74,,146.77,590,57,1949.0,800.0,2186,19.75,1.64,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/55-meter/pdf"">PDF</a>",20,00032.jpg,,,,,,,,,,,,,,,,,,fffffd0c1c3c3c00
10,13,5.03,4.57,1.88,16.26,1.42,127.0,,65.49,,37.04,590,-1,1954.0,9100.0,1285,2.47,3.78,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/505/pdf"">PDF</a>",6,00033.jpg,0.15,Various,,,,,,,,,,,,,,,,fcc7c7e7ffeb8100
10,13,5.03,4.57,1.88,16.26,1.42,127.0,,65.49,,37.04,590,-1,1954.0,9100.0,1285,2.47,3.78,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/505/pdf"">PDF</a>",6,00034.jpg,0.15,Various,,,,,,,,,,,,,,,,ffe7c7f7f3f101ef
51,13,5.15,4.75,1.86,11.61,1.08,355.0,80.0,23.58,22.48,92.43,86,-1,1970.0,450.0,411,6.81,2.65,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/510-lanaverre/pdf"">PDF</a>",21,00035.jpg,0.19,Lanaverre (FRA),,1975.0,,,,,,,www.facebook.com/Lanaverre510,,,,,,,ffe7f783c200ff00
9,13,5.15,4.65,1.86,11.98,1.08,360.0,,24.11,,99.75,86,-1,1976.0,,411,7.0,2.64,5.36,4.6,2.35,5.5,2.38,,,5.41,6.54,24.05,5.17,"<a class="""" href=""https://sailboatdata.com/sailboat/517/pdf"">PDF</a>",7,00036.jpg,0.2,,,,,,,,,,,,,,,,,ffc7c7cf0381e100
34,13,5.95,,2.05,17.19,1.25,550.0,140.0,26.08,25.47,,86,-1,1963.0,2000.0,1516,,2.53,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/590-lanaverre/pdf"">PDF</a>",22,00037.jpg,0.5,Lanaverre (FRA),,,,,,,,,,,,,,,,ffffffebeb4a9e00
34,13,5.95,,2.05,17.19,1.25,550.0,140.0,26.08,25.47,,86,-1,1963.0,2000.0,1516,,2.53,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/590-lanaverre/pdf"">PDF</a>",22,00038.jpg,0.5,Lanaverre (FRA),,,,,,,,,,,,,,,,efe7e7cbef8180f7
10,13,4.8,,2.0,13.94,1.5,75.0,,79.83,,,86,-1,1998.0,,197,,4.79,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/59er/pdf"">PDF</a>",23,00039.jpg,,Ovington Boats,,2005.0,,,,,,,,,,,,,,ffffff0000040407
40,13,11.2,7.2,2.0,40.97,1.6,3856.0,,17.0,,287.99,-1,-1,1907.0,1200.0,2186,38.89,1.29,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/6-meter-international/pdf"">PDF</a>",24,00040.jpg,,,,,,,,,,,,,,,,,,
29,30,10.4,7.65,3.03,46.0,1.38,6460.0,,13.53,,402.07,353,-1,1959.0,,122,37.15,1.64,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/65-kr-2/pdf"">PDF</a>",25,00041.jpg,,,,,Mercedes Benz,Diesel,34.0,,,,,,,,,,,e381c3ffc381c3ff
26,13,6.9,6.83,2.1,38.4,0.14,446.0,,67.02,,38.99,33,-1,2020.0,,2292,5.16,2.77,,9.22,3.17,10.17,3.38,,,14.61,17.19,55.5,9.75,"<a class="""" href=""https://sailboatdata.com/sailboat/69f/pdf"">PDF</a>",26,00042.jpg,,Persico Marine (ITA),,,,,,,,,,,,,,,,e3c3c3c3cfc3c3f3
24,13,7.07,5.8,2.05,21.18,1.35,900.0,540.0,23.16,59.98,128.52,86,41,1977.0,130.0,874,11.92,2.14,4.6,8.0,2.5,8.25,2.7,,,10.0,11.14,23.11,8.38,"<a class="""" href=""https://sailboatdata.com/sailboat/707-edwardsson/pdf"">PDF</a>",27,00043.jpg,,Kvarnfallets Varv (SWE),,1982.0,,,,,,,,,,,,,,ffff18d0f8500010
24,13,7.07,5.8,2.05,21.18,1.35,900.0,540.0,23.16,59.98,128.52,86,41,1977.0,130.0,874,11.92,2.14,4.6,8.0,2.5,8.25,2.7,,,10.0,11.14,23.11,8.38,"<a class="""" href=""https://sailboatdata.com/sailboat/707-edwardsson/pdf"">PDF</a>",27,00044.jpg,,Kvarnfallets Varv (SWE),,1982.0,,,,,,,,,,,,,,f7e7e7d7d700c383
36,13,7.22,7.01,2.53,29.73,1.51,898.0,415.0,32.55,46.21,72.65,86,41,1995.0,120.0,507,7.87,2.65,,,,,3.76,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/707-thomas/pdf"">PDF</a>",28,00045.jpg,,Hunter Boats (UK),,,,,,,,,,,,,,,,7f7f7f0f6c00a000
36,13,7.22,7.01,2.53,29.73,1.51,898.0,415.0,32.55,46.21,72.65,86,41,1995.0,120.0,507,7.87,2.65,,,,,3.76,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/707-thomas/pdf"">PDF</a>",28,00046.jpg,,Hunter Boats (UK),,,,,,,,,,,,,,,,ffe7d7d781ff8181
36,13,8.0,6.99,2.49,38.74,1.7,1100.0,175.0,37.05,15.88,89.79,86,57,1993.0,,1062,9.54,2.44,7.02,10.06,3.16,10.45,3.8,3.7,,15.9,19.86,34.2,10.54,"<a class="""" href=""https://sailboatdata.com/sailboat/8m-one-design/pdf"">PDF</a>",29,00047.jpg,0.8,Shipman (HUN),,,,,,,,,,,,,,,,efe7c7d7b7a50143
19,13,8.35,7.25,2.98,42.46,1.65,2155.0,800.0,25.95,37.14,157.49,99,-1,2014.0,,1301,14.16,2.33,4.03,10.67,3.1,10.9,3.85,4.6,11.25,16.53,20.98,22.93,11.11,"<a class="""" href=""https://sailboatdata.com/sailboat/a-27-archambault/pdf"">PDF</a>",30,00048.jpg,,Archambault (FRA),,,,,,,,,,,,,,,,8f87878393131f02
19,13,8.35,7.25,2.98,42.46,1.65,2155.0,800.0,25.95,37.14,157.49,99,-1,2014.0,,1301,14.16,2.33,4.03,10.67,3.1,10.9,3.85,4.6,11.25,16.53,20.98,22.93,11.11,"<a class="""" href=""https://sailboatdata.com/sailboat/a-27-archambault/pdf"">PDF</a>",30,00049.jpg,,Archambault (FRA),,,,,,,,,,,,,,,,ffe783c7fff700a7
23,15,10.59,9.29,3.55,67.5,2.1,4450.0,1990.0,25.45,44.72,154.68,354,57,2006.0,,1303,18.14,2.18,4.0,13.48,4.1,13.73,4.59,,,27.63,31.52,22.3,14.09,"<a class="""" href=""https://sailboatdata.com/sailboat/a-35-archambault/pdf"">PDF</a>",31,00050.jpg,,Archambault Boats (FRA),3.21 SD10,2013.0,Nanni,Diesel,21.0,50 L,1.85,100 L,,,,,,,,fffffff1f1740000
4,5,5.49,5.49,2.29,13.94,,75.0,,79.83,,12.63,593,-1,1962.0,,-1,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/a-class-catamaran/pdf"">PDF</a>",32,00051.jpg,,,,,,,,,,,,2.02,,,,,,fefcfde900000000
49,13,11.58,,2.44,51.1,1.22,839.0,,58.53,,,560,-1,1901.0,,1267,,2.61,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/a-scow/pdf"">PDF</a>",33,00052.jpg,0.3,Melges Boat Works (USA),,,,,,,,,,,,,,,,fff7f7f7f3d27000
3,4,5.49,,2.29,13.94,0.76,136.0,,53.61,,,86,-1,1967.0,,1186,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/a-lion/pdf"">PDF</a>",34,00053.jpg,0.15,American Fiberglass Corp. (USA),,,,,,,,,,,,,,,,efe7e3e3cfad2100
24,30,6.71,5.72,2.29,21.46,1.17,1406.0,703.0,17.43,50.0,209.95,86,-1,1977.0,,1042,16.58,2.06,2.64,8.53,2.99,7.16,2.44,,,12.75,8.73,17.44,9.04,"<a class="""" href=""https://sailboatdata.com/sailboat/abbott-22/pdf"">PDF</a>",35,00054.jpg,,Abbott Boats Inc. (CAN),,,,,,,,19 L,,,,,,,,f7e7ff87018383c7
24,30,8.33,6.93,2.74,33.07,1.5,2722.0,1225.0,17.3,45.0,227.49,225,-1,1986.0,,198,20.59,1.98,2.43,10.44,3.35,8.84,3.51,,,17.5,15.49,17.26,10.96,"<a class="""" href=""https://sailboatdata.com/sailboat/abbott-27/pdf"">PDF</a>",36,00055.jpg,,Abbott Boats Inc. (CAN),,,,,,,,,,,,,,,,f7f7f7f7f7f70103
23,13,10.15,8.21,2.5,40.13,1.65,2747.0,1499.0,20.86,54.55,138.61,86,-1,1980.0,40.0,1149,19.65,1.8,4.1,10.97,3.51,11.75,3.55,,,19.23,20.86,20.84,11.52,"<a class="""" href=""https://sailboatdata.com/sailboat/abbott-33/pdf"">PDF</a>",37,00056.jpg,,Abbott Boats (CAN),,,,,,,,57 L,,,,,,,,3f1f1f0ff77f0000
23,13,10.15,8.21,2.5,40.13,1.65,2747.0,1499.0,20.86,54.55,138.61,86,-1,1980.0,40.0,1149,19.65,1.8,4.1,10.97,3.51,11.75,3.55,,,19.23,20.86,20.84,11.52,"<a class="""" href=""https://sailboatdata.com/sailboat/abbott-33/pdf"">PDF</a>",37,00057.jpg,,Abbott Boats (CAN),,,,,,,,57 L,,,,,,,,fffffff7e7010101
23,13,11.05,8.84,3.05,51.93,1.83,4536.0,2030.0,19.33,44.75,183.05,122,57,1985.0,,198,23.08,1.86,3.2,12.17,3.89,12.8,4.42,,,23.64,28.29,19.33,12.77,"<a class="""" href=""https://sailboatdata.com/sailboat/abbott-36/pdf"">PDF</a>",38,00058.jpg,,Abbott Boats Ltd. (CAN),,,Volvo,Diesel,18.0,38 L,,189 L,,,,,,,,ff1f0f0c081878e0
23,13,11.05,8.84,3.05,51.93,1.83,4536.0,2030.0,19.33,44.75,183.05,122,57,1985.0,,198,23.08,1.86,3.2,12.17,3.89,12.8,4.42,,,23.64,28.29,19.33,12.77,"<a class="""" href=""https://sailboatdata.com/sailboat/abbott-36/pdf"">PDF</a>",38,00059.jpg,,Abbott Boats Ltd. (CAN),,,Volvo,Diesel,18.0,38 L,,189 L,,,,,,,,ff8383ffcf030287
40,30,6.1,4.88,2.23,18.77,0.74,1134.0,454.0,17.59,40.0,272.48,86,57,1972.0,,2208,15.81,2.16,1.88,7.32,2.44,6.22,2.59,,,8.92,8.06,15.92,7.71,"<a class="""" href=""https://sailboatdata.com/sailboat/able-20/pdf"">PDF</a>",39,00060.jpg,,Loughlin Boat Works.  (USA),,,,,,,,38 L,,,,,,,,58ffffff7c3e0000
40,30,6.1,4.88,2.23,18.77,0.74,1134.0,454.0,17.59,40.0,272.48,86,57,1972.0,,2208,15.81,2.16,1.88,7.32,2.44,6.22,2.59,,,8.92,8.06,15.92,7.71,"<a class="""" href=""https://sailboatdata.com/sailboat/able-20/pdf"">PDF</a>",39,00061.jpg,,Loughlin Boat Works.  (USA),,,,,,,,38 L,,,,,,,,f7e7f7a701810101
25,30,12.8,9.96,3.86,74.42,1.58,9833.0,2259.0,16.55,22.97,277.54,86,57,1989.0,,420,32.1,1.82,1.89,16.31,5.11,14.5,4.52,,,41.63,32.78,16.55,17.09,"<a class="""" href=""https://sailboatdata.com/sailboat/able-42/pdf"">PDF</a>",40,00062.jpg,,Able Marine,,,,,,,,,,,,,,,,ffffffe7fb000000
4,36,13.45,,6.9,132.94,2.7,1400.0,,108.3,,,56,-1,2010.0,12.0,1657,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/ac45/pdf"">PDF</a>",41,00063.jpg,,Oracle Racing Team,,2011.0,,,,,,,,,,,,,,f7f7e7e7c7040000
40,30,9.14,6.63,2.59,35.95,1.32,3175.0,1542.0,16.97,48.57,303.72,86,48,1964.0,,754,25.81,1.78,1.71,10.06,3.4,8.94,4.19,,,17.11,18.73,16.92,10.62,"<a class="""" href=""https://sailboatdata.com/sailboat/acadian-30-paceship/pdf"">PDF</a>",42,00064.jpg,,Industrial Manufacturing (CAN) ,Atomic 4,1971.0,Universal,Gas,30.0,38 L,,95 L,,,,,,,,f7e7f7f703000300
40,29,9.14,6.63,2.59,36.14,1.31,3175.0,1542.0,17.06,48.57,303.72,86,-1,1968.0,,754,25.81,1.78,1.61,10.06,3.4,8.53,3.73,,,17.11,15.93,15.6,10.62,"<a class="""" href=""https://sailboatdata.com/sailboat/acadian-30-ywl-paceship/pdf"">PDF</a>",43,00065.jpg,,Industrial Manufacturing (CAN),Atomic 4,,Universal,Gas,30.0,38 L,,95 L,,,3.43,1.8,,,,ff7f3fffff002000
40,29,9.14,6.63,2.59,36.14,1.31,3175.0,1542.0,17.06,48.57,303.72,86,-1,1968.0,,754,25.81,1.78,1.61,10.06,3.4,8.53,3.73,,,17.11,15.93,15.6,10.62,"<a class="""" href=""https://sailboatdata.com/sailboat/acadian-30-ywl-paceship/pdf"">PDF</a>",43,00066.jpg,,Industrial Manufacturing (CAN),Atomic 4,,Universal,Gas,30.0,38 L,,95 L,,,3.43,1.8,,,,f7f7ffbf83808181
40,30,12.09,9.14,3.94,53.14,1.65,10206.0,2835.0,11.53,27.78,372.02,86,-1,1967.0,,2082,35.0,1.83,1.08,14.08,4.72,12.27,4.88,,,33.26,29.91,13.71,14.85,"<a class="""" href=""https://sailboatdata.com/sailboat/acapulco-40/pdf"">PDF</a>",44,00067.jpg,,Acapulco Yacht Corp. (USA),,,Isuzu,Diesel,40.0,473 L,,303 L,,,,,,,,ddffffffff0a0280
40,30,12.09,9.14,3.94,53.14,1.65,10206.0,2835.0,11.53,27.78,372.02,86,-1,1967.0,,2082,35.0,1.83,1.08,14.08,4.72,12.27,4.88,,,33.26,29.91,13.71,14.85,"<a class="""" href=""https://sailboatdata.com/sailboat/acapulco-40/pdf"">PDF</a>",44,00068.jpg,,Acapulco Yacht Corp. (USA),,,Isuzu,Diesel,40.0,473 L,,303 L,,,,,,,,f7f7f7d782018101
25,30,8.05,6.25,2.77,26.01,1.54,2500.0,890.0,14.4,35.6,285.21,86,41,1975.0,760.0,1732,20.21,2.06,1.64,10.0,3.0,8.8,2.5,,,15.0,11.0,14.39,10.44,"<a class="""" href=""https://sailboatdata.com/sailboat/accent-26-albin/pdf"">PDF</a>",45,00069.jpg,,Shipman Marine/Albin (SWE),,1980.0,Yanmar,Diesel,8.0,,,,,,,,,,,fffffffff1404000
25,30,8.05,6.25,2.77,26.01,1.54,2500.0,890.0,14.4,35.6,285.21,86,41,1975.0,760.0,1732,20.21,2.06,1.64,10.0,3.0,8.8,2.5,,,15.0,11.0,14.39,10.44,"<a class="""" href=""https://sailboatdata.com/sailboat/accent-26-albin/pdf"">PDF</a>",45,00070.jpg,,Shipman Marine/Albin (SWE),,1980.0,Yanmar,Diesel,8.0,,,,,,,,,,,f7f7f7e70101c781
24,4,2.3,,1.25,3.72,0.75,72.0,20.0,21.82,27.67,,86,-1,2006.0,,407,,3.03,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/access-23/pdf"">PDF</a>",46,00071.jpg,,,,,,,,,,,,,,,,,,4060636f7f527030
24,4,2.3,,1.25,3.72,0.75,72.0,20.0,21.82,27.67,,86,-1,2006.0,,407,,3.03,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/access-23/pdf"">PDF</a>",46,00072.jpg,,,,,,,,,,,,,,,,,,fbffff0100a78181
36,-1,3.6,,1.35,7.34,1.1,144.0,72.0,27.22,50.16,,86,-1,2003.0,70.0,407,,2.6,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/access-liberty/pdf"">PDF</a>",47,00073.jpg,,,,,,,,,,,,,,,,,,efefcf8f060e0c00
36,-1,3.6,,1.35,7.34,1.1,144.0,72.0,27.22,50.16,,86,-1,2003.0,70.0,407,,2.6,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/access-liberty/pdf"">PDF</a>",47,00074.jpg,,,,,,,,,,,,,,,,,,f7fff93b0061c707
