Hull Type,Rigging Type,LOA,LWL,Beam,S.A. (reported),Draft (max),Displacement,Ballast,S.A./Disp.,Bal./Disp.,Disp./Len.,Construction,Ballast Type,First Built,# Built,Designer,Comfort Ratio,Capsize Screening Formula,S#,I,J,P,E,SPL/TPS,ISP,S.A. Fore,S.A. Main,S.A./Disp. (calc.),Est. Forestay Len.,Download Boat Record,name,img_path,Draft (min),Builder,Model,Last Built,Make,Type,HP,Fuel,Headroom,Water,Website,KSP,PY,EY,Bridgedeck Clearance,Mast Height from DWL,Bruce Number
23,30,10.11,8.23,3.51,48.59,1.68,5130.0,1910.0,16.67,37.22,256.52,89,-1,1986.0,141.0,584,23.42,2.05,2.12,13.23,4.3,11.48,3.71,,,28.47,21.27,17.06,13.91,"<a class="""" href=""https://sailboatdata.com/sailboat/storm-33-westerly/pdf"">PDF</a>",6008,08888.jpg,,2878,28,1993.0,143,12,45,275,,164,-1,,,,,,
40,13,8.5,6.6,2.85,44.31,1.25,4300.0,1400.0,17.1,32.55,417.05,89,-1,1978.0,,107,31.71,1.77,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/evasion-28-beneteau/pdf"">PDF</a>",2131,03160.jpg,,300,504,,143,11,-1,337,,118,-1,,,,,,
23,30,7.01,5.94,2.34,24.81,1.24,1724.0,703.0,17.59,40.79,228.79,89,39,1970.0,,318,18.94,1.97,2.46,8.81,2.84,7.77,3.2,,,12.53,12.44,17.7,9.26,"<a class="""" href=""https://sailboatdata.com/sailboat/calgan-23/pdf"">PDF</a>",874,01313.jpg,,442,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
59,30,11.28,8.98,2.93,47.01,1.3,6350.0,2821.0,13.99,44.43,244.69,597,39,1970.0,,1472,33.54,1.6,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/francis-drake-37/pdf"">PDF</a>",2501,03721.jpg,,-1,-1,,-1,12,-1,-1,,-1,-1,,,,,,
36,13,7.7,,2.5,30.94,1.62,900.0,250.0,33.82,27.77,,89,-1,2005.0,,106,,2.61,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/delphia-24-one-design/pdf"">PDF</a>",1680,02485.jpg,,766,-1,,-1,-1,-1,-1,,-1,-1,,,,,10.72,
51,30,6.55,5.28,2.23,16.26,1.22,794.0,181.0,19.32,22.86,150.1,89,-1,1976.0,,913,10.24,2.44,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/international-21/pdf"">PDF</a>",3245,04850.jpg,0.35,1302,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
24,13,5.26,4.88,2.01,13.47,0.69,431.0,204.0,24.05,47.37,103.35,89,-1,1973.0,,1662,7.27,2.68,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/red-jacket-17/pdf"">PDF</a>",5153,07663.jpg,,1201,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
23,9,12.8,9.91,3.89,78.78,1.73,8981.0,3674.0,18.61,40.91,257.49,89,-1,1984.0,20.0,1451,29.18,1.89,2.25,16.15,5.79,14.02,4.57,,,46.78,32.05,18.62,17.16,"<a class="""" href=""https://sailboatdata.com/sailboat/niagara-42/pdf"">PDF</a>",4430,06575.jpg,,1205,-1,,-1,12,-1,92,,213,-1,,,,,,
19,13,20.01,17.68,5.36,226.3,3.4,27500.0,10000.0,25.37,36.36,138.65,89,-1,2007.0,6.0,1568,34.14,1.8,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/x-65/pdf"">PDF</a>",7026,10371.jpg,,2956,-1,2014.0,143,12,36,304,,379,-1,,,,,,
56,12,8.7,,6.9,56.95,1.8,1900.0,,37.85,,,89,-1,2010.0,,1742,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/bandit-870/pdf"">PDF</a>",440,00653.jpg,0.45,1807,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
4,12,6.1,5.79,3.66,25.55,1.07,204.0,,75.03,,29.29,89,-1,1980.0,,1995,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/supercat-20/pdf"">PDF</a>",6203,09190.jpg,0.15,1003,-1,,-1,-1,-1,-1,,-1,-1,1.7,,,,10.06,
10,13,3.82,,1.42,10.03,1.12,84.0,,53.26,,,592,-1,1952.0,3000.0,523,,3.27,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/graduate/pdf"">PDF</a>",2647,03937.jpg,,401,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
25,30,6.58,5.99,2.15,18.58,1.1,990.0,550.0,19.06,55.57,128.45,89,39,1968.0,225.0,799,12.31,2.18,4.02,8.0,2.45,7.0,2.5,,,9.8,8.75,19.03,8.37,"<a class="""" href=""https://sailboatdata.com/sailboat/drabant-22/pdf"">PDF</a>",1771,02619.jpg,,1034,-1,1972.0,-1,-1,-1,-1,,-1,-1,,,,,,
23,30,6.6,5.7,2.2,16.26,0.95,1100.0,450.0,15.55,40.91,165.55,89,-1,1961.0,1100.0,457,13.74,2.15,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/victoire-22/pdf"">PDF</a>",6702,09905.jpg,,2799,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
42,13,7.68,6.0,2.2,20.44,1.19,1930.0,1000.0,13.44,51.82,249.22,582,39,1942.0,4000.0,1067,22.13,1.78,1.82,5.5,2.05,8.75,3.38,,,5.63,14.8,13.44,5.87,"<a class="""" href=""https://sailboatdata.com/sailboat/nordic-folkboat/pdf"">PDF</a>",4496,06678.jpg,,-1,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
23,13,10.4,9.55,3.5,58.53,1.95,6300.0,2300.0,17.51,36.51,201.62,25,8,2018.0,,1277,25.86,1.91,2.63,13.6,3.88,13.1,4.4,,14.8,26.39,28.83,16.52,14.14,"<a class="""" href=""https://sailboatdata.com/sailboat/hanse-348/pdf"">PDF</a>",2861,04265.jpg,,1149,-1,,176,12,64,80,,129,-1,,,,,16.25,
10,6,2.74,,1.22,4.55,0.71,39.0,,40.56,,,455,-1,2000.0,,641,,3.64,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/mango-escape/pdf"">PDF</a>",3854,05748.jpg,0.08,903,-1,2009.0,-1,-1,-1,-1,,-1,-1,,,,,5.18,
25,30,12.8,10.67,3.99,74.14,1.83,10886.0,4082.0,15.41,37.5,249.9,89,-1,1976.0,,1978,32.57,1.82,2.02,15.54,5.18,13.46,5.03,,,40.27,33.85,15.4,16.39,"<a class="""" href=""https://sailboatdata.com/sailboat/maple-leaf-42/pdf"">PDF</a>",3865,05766.jpg,,681,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
23,30,12.93,10.4,3.81,77.67,2.16,8943.0,4082.0,18.4,45.65,221.58,89,52,1976.0,21.0,293,28.8,1.85,2.61,17.2,5.39,15.24,4.11,,,46.31,31.35,18.4,18.02,"<a class="""" href=""https://sailboatdata.com/sailboat/baltic-42/pdf"">PDF</a>",416,00611.jpg,,252,-1,1980.0,-1,-1,-1,-1,,-1,-1,,,,,,
23,30,6.4,4.57,1.91,17.19,0.91,612.0,227.0,24.28,37.04,178.57,89,39,1959.0,690.0,2031,10.8,2.26,3.88,7.44,2.23,6.32,2.96,,,8.27,9.35,24.9,7.76,"<a class="""" href=""https://sailboatdata.com/sailboat/victory-21/pdf"">PDF</a>",6729,09944.jpg,,1176,-1,1980.0,-1,-1,-1,-1,,-1,-1,,,,,,
25,28,11.35,9.09,3.66,49.98,1.96,8748.0,3444.0,12.02,39.37,324.35,89,-1,1980.0,90.0,524,33.97,1.79,1.19,13.47,4.11,11.89,3.75,,,27.72,22.28,12.02,14.09,"<a class="""" href=""https://sailboatdata.com/sailboat/contest-38s/pdf"">PDF</a>",1418,02114.jpg,,673,-1,1992.0,-1,-1,-1,-1,,-1,-1,,,,,15.16,
11,13,4.32,,1.35,9.75,0.74,79.0,,53.73,,,89,-1,1986.0,,-1,,3.16,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/suncatcher-14/pdf"">PDF</a>",6158,09128.jpg,0.15,2133,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
25,9,12.7,,4.0,110.0,2.2,12000.0,4000.0,21.42,33.33,,89,52,1979.0,5.0,1359,,1.76,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/azimut-42/pdf"">PDF</a>",355,00511.jpg,,1014,-1,,-1,12,-1,156,,242,-1,,,,,,
16,30,6.1,5.61,2.07,19.51,1.16,816.0,,22.76,,128.57,89,-1,1978.0,,-1,11.45,2.24,4.55,8.63,2.53,7.04,2.44,,,10.91,8.58,22.74,8.99,"<a class="""" href=""https://sailboatdata.com/sailboat/independent-20-2/pdf"">PDF</a>",3232,04829.jpg,,1292,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
23,9,15.0,,4.5,,2.35,17500.0,,,,,89,52,1997.0,,1280,,1.75,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/najad-490/pdf"">PDF</a>",4303,06389.jpg,,1823,238,2007.0,176,12,188,-1,,-1,-1,,,,,,
23,30,7.98,6.43,2.41,30.1,1.52,2295.0,1089.0,17.64,47.43,241.15,89,-1,1971.0,83.0,1945,21.96,1.85,2.38,10.24,3.55,8.53,3.05,,,18.2,13.01,18.29,10.84,"<a class="""" href=""https://sailboatdata.com/sailboat/santana-26/pdf"">PDF</a>",5435,08076.jpg,,2837,-1,1974.0,-1,-1,-1,-1,,-1,-1,,,,,,
25,30,11.89,9.1,3.62,62.43,2.05,7500.0,3500.0,16.63,46.67,277.24,237,52,1980.0,,1422,29.02,1.87,1.9,15.0,4.82,13.85,3.8,,,36.14,26.32,16.64,15.75,"<a class="""" href=""https://sailboatdata.com/sailboat/gecco-39/pdf"">PDF</a>",2593,03855.jpg,,1054,508,1990.0,143,12,-1,64,,141,-1,,17.0,,,,
4,12,4.88,4.57,2.41,17.56,0.56,136.0,,67.55,,39.68,136,-1,1971.0,9000.0,758,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/prindle-16/pdf"">PDF</a>",5044,07507.jpg,0.23,2580,-1,,-1,-1,-1,-1,,-1,-1,1.54,,,,,
49,13,8.53,,2.06,30.01,1.14,438.0,,53.02,,,550,-1,1924.0,,127,,2.73,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/e-scow/pdf"">PDF</a>",1910,02815.jpg,,-1,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
23,9,12.8,9.91,3.89,78.78,1.73,8981.0,3674.0,18.61,40.91,257.49,89,-1,1984.0,20.0,1451,29.18,1.89,2.25,16.15,5.79,14.02,4.57,,,46.78,32.05,18.62,17.16,"<a class="""" href=""https://sailboatdata.com/sailboat/niagara-42/pdf"">PDF</a>",4430,06576.jpg,,1205,-1,,-1,12,-1,92,,213,-1,,,,,,
23,13,10.52,8.99,3.35,60.94,1.85,5216.0,,20.67,,199.98,89,39,1979.0,25.0,1902,23.52,1.95,2.67,10.97,3.96,12.88,4.27,,,21.74,27.48,16.69,11.67,"<a class="""" href=""https://sailboatdata.com/sailboat/nicholson-345/pdf"">PDF</a>",4438,06586.jpg,,447,-1,1981.0,-1,-1,-1,-1,,-1,-1,,,,,,
23,30,7.62,6.46,2.74,27.31,1.37,1315.0,590.0,23.19,44.83,135.88,89,-1,1984.0,130.0,778,10.75,2.53,4.45,9.75,2.92,8.53,3.05,,,14.24,13.01,23.13,10.18,"<a class="""" href=""https://sailboatdata.com/sailboat/olson-25/pdf"">PDF</a>",4673,06948.jpg,,2033,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
19,13,11.34,10.4,3.76,69.96,1.94,6700.0,1769.0,20.09,26.4,166.01,89,-1,2011.0,,1428,22.93,2.02,3.1,14.23,4.15,13.59,4.24,,,29.5,28.8,16.74,14.83,"<a class="""" href=""https://sailboatdata.com/sailboat/sun-odyssey-379-jeanneau/pdf"">PDF</a>",6079,08999.jpg,1.5,1373,-1,,176,12,81,64,,118,-1,,,,,,
63,13,5.03,3.81,1.91,9.2,0.3,,,,,,443,39,1954.0,,1860,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/silhouette/pdf"">PDF</a>",5707,08456.jpg,,2784,-1,1955.0,-1,-1,-1,-1,,-1,-1,,,,,,
10,13,3.68,,1.47,7.9,1.07,84.0,,41.92,,,89,-1,1973.0,,1075,,3.39,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/jester-12/pdf"">PDF</a>",3401,05090.jpg,0.15,1079,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
23,30,7.25,6.25,2.93,24.62,1.4,1950.0,1021.0,16.08,52.33,222.82,89,39,1974.0,,1902,15.21,2.36,2.35,9.53,3.12,8.03,2.44,,,14.87,9.79,16.11,10.03,"<a class="""" href=""https://sailboatdata.com/sailboat/eygthene-24/pdf"">PDF</a>",2179,03229.jpg,,1690,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
23,30,13.13,11.54,3.81,92.35,2.51,9877.0,3062.0,20.47,31.0,179.13,89,-1,2008.0,,2062,29.54,1.79,3.39,17.55,5.33,16.46,5.54,,,46.81,45.58,20.48,18.34,"<a class="""" href=""https://sailboatdata.com/sailboat/tartan-4300/pdf"">PDF</a>",6369,09441.jpg,,2625,-1,,143,35,163,123,,223,-1,,,,,19.74,
25,9,13.51,10.82,3.86,89.84,1.93,12701.0,5130.0,16.85,40.39,279.4,89,-1,1978.0,56.0,1855,38.55,1.67,1.9,17.07,5.94,15.64,5.0,,,50.73,39.08,16.84,18.07,"<a class="""" href=""https://sailboatdata.com/sailboat/lafitte-44/pdf"">PDF</a>",3563,05321.jpg,,1498,-1,1989.0,67,12,172,201,,217,-1,,,,,,
23,30,12.98,11.2,4.27,78.97,1.93,11340.0,3856.0,15.97,34.0,224.86,89,52,2001.0,7.0,1972,29.87,1.92,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/north-wind-43-ds/pdf"">PDF</a>",4536,06733.jpg,,1921,-1,2004.0,176,12,164,172,,258,-1,,,,,,
3,12,5.49,5.33,2.44,21.65,0.23,158.0,,75.29,,29.07,89,-1,1982.0,100.0,479,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/trac-18/pdf"">PDF</a>",6500,09622.jpg,0.91,151,-1,,-1,-1,-1,-1,,-1,-1,1.71,,,,,
36,13,6.6,5.5,2.4,19.51,0.4,898.0,399.0,21.36,44.44,150.31,89,-1,1983.0,,575,10.24,2.51,3.96,7.25,2.13,7.89,2.99,,,7.74,11.79,21.38,7.56,"<a class="""" href=""https://sailboatdata.com/sailboat/dehler-22/pdf"">PDF</a>",1639,02417.jpg,,759,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
23,30,10.24,7.95,3.12,43.57,1.68,5806.0,2313.0,13.76,39.84,322.14,89,52,1968.0,,873,31.46,1.76,1.35,12.19,3.81,10.42,3.9,,,23.23,20.33,13.76,12.77,"<a class="""" href=""https://sailboatdata.com/sailboat/bristol-33/pdf"">PDF</a>",743,01109.jpg,,380,320,1971.0,133,48,115,345,,70,-1,,,,,,
24,30,7.32,5.94,3.05,24.62,1.22,1701.0,780.0,17.61,45.87,225.78,89,-1,1975.0,,227,12.94,2.58,2.49,9.45,3.14,7.77,2.53,,,14.83,9.83,17.65,9.96,"<a class="""" href=""https://sailboatdata.com/sailboat/poitin-24-able/pdf"">PDF</a>",5006,07450.jpg,,47,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
24,13,4.65,4.54,1.88,11.43,0.5,500.0,200.0,18.48,40.02,148.72,582,-1,1820.0,,1595,10.04,2.39,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/lynaes-14/pdf"">PDF</a>",3771,05614.jpg,,1593,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
10,13,4.25,3.95,1.5,10.22,1.0,90.0,,51.85,,40.61,506,-1,1962.0,150.0,1140,2.76,3.38,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/boucanier/pdf"">PDF</a>",692,01038.jpg,0.16,2445,-1,1964.0,-1,-1,-1,-1,,-1,-1,,,,,,
10,13,3.9,,1.54,8.45,0.53,80.0,,46.39,,,89,-1,1968.0,,398,,3.61,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/390-lanaverre/pdf"">PDF</a>",11,00020.jpg,0.1,1505,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
10,13,4.57,4.33,1.58,11.98,1.07,238.0,32.0,31.76,13.33,81.86,513,-1,1935.0,20.0,556,6.28,2.57,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/wivenhoe/pdf"">PDF</a>",6978,10297.jpg,0.25,-1,-1,1945.0,-1,-1,-1,-1,,-1,-1,,,,,,
10,13,3.35,,1.52,6.87,0.76,91.0,,34.65,,,89,-1,1961.0,,654,,3.42,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/whistler-11/pdf"">PDF</a>",6908,10203.jpg,0.1,159,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
23,30,10.95,8.99,3.38,56.11,1.5,6123.0,2722.0,17.11,44.44,234.76,89,-1,1980.0,,1199,26.97,1.86,2.34,14.17,4.5,12.5,3.89,,,31.86,24.28,17.11,14.87,"<a class="""" href=""https://sailboatdata.com/sailboat/hunter-36/pdf"">PDF</a>",3107,04640.jpg,,1270,-1,1983.0,-1,-1,-1,-1,,-1,-1,,,,,15.39,
23,30,11.53,9.3,3.66,65.87,1.98,7031.0,2858.0,18.31,40.65,243.88,89,52,1991.0,,271,26.77,1.93,2.36,15.24,4.95,13.18,4.27,,,37.74,28.13,18.31,16.02,"<a class="""" href=""https://sailboatdata.com/sailboat/ericson-380/pdf"">PDF</a>",2075,03070.jpg,,2037,128,,176,12,129,-1,1.88,-1,-1,,,,,17.07,
51,13,7.82,7.01,2.49,29.82,1.42,1168.0,272.0,27.41,23.3,94.48,89,52,1979.0,,485,10.19,2.39,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/binks-b25/pdf"">PDF</a>",621,00934.jpg,0.25,318,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
42,28,9.3,7.32,2.82,46.64,1.28,5443.0,1905.0,15.38,35.0,387.52,89,-1,1962.0,161.0,2054,36.91,1.62,0.96,10.84,3.73,9.7,3.96,,,20.25,19.22,13.01,11.47,"<a class="""" href=""https://sailboatdata.com/sailboat/seawind-allied/pdf"">PDF</a>",5614,08315.jpg,,99,419,1982.0,91,48,-1,215,,72,-1,,5.54,2.59,,,
24,30,6.88,6.17,2.39,20.9,0.71,1066.0,340.0,20.42,31.91,126.34,89,-1,1971.0,,1642,11.18,2.36,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/kells-23-coaster-23/pdf"">PDF</a>",3486,05204.jpg,,1448,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
4,12,6.55,6.46,2.59,26.2,1.3,181.0,,83.21,,18.74,89,-1,2000.0,,1867,,,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/arc-21/pdf"">PDF</a>",272,00394.jpg,0.74,186,-1,,-1,-1,-1,-1,,-1,-1,1.93,,,,,
23,13,10.65,9.95,3.5,39.11,1.95,4900.0,2200.0,13.83,44.89,138.69,89,-1,2002.0,8.0,171,19.41,2.08,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/diva-34/pdf"">PDF</a>",1734,02564.jpg,,929,-1,,178,12,-1,-1,,-1,-1,,,,,,
44,30,9.75,6.73,2.67,43.48,1.45,5216.0,1701.0,14.75,32.61,476.93,89,-1,1960.0,95.0,1714,39.45,1.55,0.72,12.65,3.29,10.97,4.11,,,20.82,22.58,14.72,13.07,"<a class="""" href=""https://sailboatdata.com/sailboat/chesapeake-32/pdf"">PDF</a>",1160,01737.jpg,,734,-1,1965.0,-1,-1,-1,-1,,-1,-1,,,,,,
25,35,11.81,9.73,3.66,75.34,1.68,10342.0,4173.0,16.2,40.35,312.97,89,-1,1979.0,200.0,1840,37.9,1.7,1.59,14.78,5.58,12.8,5.33,,,41.23,34.14,16.21,15.8,"<a class="""" href=""https://sailboatdata.com/sailboat/corbin-39-cc/pdf"">PDF</a>",1453,02165.jpg,,687,-1,1991.0,165,12,-1,-1,,-1,-1,,,,,,
24,30,7.45,6.45,2.3,25.46,1.2,1900.0,700.0,16.92,36.83,197.39,89,39,1966.0,,840,19.78,1.88,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/balaton-24/pdf"">PDF</a>",387,00561.jpg,,1263,-1,1974.0,-1,-1,-1,-1,,-1,-1,,,,,,
23,30,7.62,5.97,2.44,23.88,1.42,1701.0,567.0,17.08,33.33,223.02,89,-1,1978.0,,750,17.12,2.06,2.45,9.33,2.92,8.07,2.54,2.92,,13.62,10.23,17.07,9.78,"<a class="""" href=""https://sailboatdata.com/sailboat/buccaneer-250/pdf"">PDF</a>",777,01162.jpg,,282,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
63,13,6.93,5.54,2.59,19.97,0.94,1245.0,651.0,17.59,52.28,204.62,89,-1,1989.0,200.0,495,12.55,2.43,2.72,7.2,2.57,7.83,2.74,,,9.24,10.74,17.59,7.64,"<a class="""" href=""https://sailboatdata.com/sailboat/hunter-horizon-23/pdf"">PDF</a>",3148,04707.jpg,,1264,-1,1998.0,-1,-1,-1,-1,,-1,-1,,,,,,
24,30,7.21,6.1,2.64,27.96,1.17,3175.0,1361.0,13.2,42.86,390.63,584,52,1974.0,,609,28.86,1.82,0.96,9.66,2.74,7.92,3.72,,,13.25,14.73,13.21,10.04,"<a class="""" href=""https://sailboatdata.com/sailboat/eastward-ho-24/pdf"">PDF</a>",1925,02840.jpg,,2131,-1,,89,48,-1,318,,359,-1,,,,,,
51,13,7.57,6.73,2.49,24.25,1.8,1150.0,349.0,22.52,30.37,105.13,89,39,1979.0,,265,10.42,2.4,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/farr-7500/pdf"">PDF</a>",2240,03319.jpg,0.46,2391,-1,,-1,-1,-1,-1,,-1,-1,,,,,,
23,30,8.18,6.63,2.69,31.77,1.22,3107.0,1225.0,15.22,39.42,297.21,89,52,1971.0,6662.0,693,24.99,1.86,1.64,10.52,3.43,8.74,3.2,,,18.03,13.98,15.33,11.06,"<a class="""" href=""https://sailboatdata.com/sailboat/catalina-27/pdf"">PDF</a>",1021,01527.jpg,,508,-1,1991.0,-1,-1,-1,-1,1.85,-1,-1,,,,,,
42,30,9.31,7.37,3.11,44.97,1.52,5899.0,2177.0,14.05,36.91,411.18,89,52,1976.0,119.0,1781,34.95,1.74,0.93,11.95,3.84,10.63,4.14,,,22.94,22.0,14.04,12.55,"<a class="""" href=""https://sailboatdata.com/sailboat/nicholson-31/pdf"">PDF</a>",4436,06584.jpg,,448,651,1980.0,176,12,13,308,,184,-1,,,,,,
25,30,11.85,9.85,3.76,82.0,1.85,10000.0,4200.0,18.03,42.0,291.52,89,-1,1991.0,209.0,793,35.0,1.76,,,,,,,,,,,,"<a class="""" href=""https://sailboatdata.com/sailboat/hallberg-rassy-39/pdf"">PDF</a>",2805,04165.jpg,,1134,525,2003.0,150,12,165,184,,222,-1,,,,,17.3,
