,Water
356 l,0.0008337303477846593
860 l,0.0008337303477846593
439 l,0.0008337303477846593
295 l,0.0008337303477846593
291 l,0.0008337303477846593
"1,030 l",0.0008337303477846593
144 l,0.0008337303477846593
34 l,0.0008337303477846593
257 l,0.0007146260123868509
160 l,0.0007146260123868509
163 l,0.0007146260123868509
102 l,0.0007146260123868509
"1,003 l",0.0007146260123868509
185 l,0.0007146260123868509
950 l,0.0007146260123868509
"1,041 l",0.0007146260123868509
310 l,0.0007146260123868509
130 l,0.0007146260123868509
651 l,0.0007146260123868509
550 l,0.0007146260123868509
380 l,0.0007146260123868509
613 l,0.0007146260123868509
240 l,0.0007146260123868509
371 l,0.0007146260123868509
72 l,0.0007146260123868509
230 l,0.0007146260123868509
901 l,0.0005955216769890424
480 l,0.0005955216769890424
522 l,0.0005955216769890424
541 l,0.0005955216769890424
40 l,0.0005955216769890424
340 l,0.0005955216769890424
60 l,0.0005955216769890424
"1,650 l",0.0005955216769890424
394 l,0.0005955216769890424
545 l,0.0005955216769890424
790 l,0.0005955216769890424
488 l,0.0005955216769890424
235 l,0.0005955216769890424
931 l,0.0005955216769890424
840 l,0.0005955216769890424
570 l,0.0005955216769890424
155 l,0.0005955216769890424
"1,287 l",0.0005955216769890424
630 l,0.0005955216769890424
330 l,0.0005955216769890424
"1,500 l",0.0004764173415912339
"1,590 l",0.0004764173415912339
25 l,0.0004764173415912339
212 l,0.0004764173415912339
908 l,0.0004764173415912339
511 l,0.0004764173415912339
609 l,0.0004764173415912339
900 l,0.0004764173415912339
723 l,0.0004764173415912339
"1,050 l",0.0004764173415912339
587 l,0.0004764173415912339
725 l,0.0004764173415912339
30 l,0.0004764173415912339
670 l,0.0004764173415912339
11 l,0.0004764173415912339
370 l,0.0004764173415912339
"1,300 l",0.0004764173415912339
405 l,0.0004764173415912339
367 l,0.0004764173415912339
"1,548 l",0.0004764173415912339
605 l,0.0004764173415912339
276 l,0.0004764173415912339
"1,249 l",0.0004764173415912339
583 l,0.0004764173415912339
65 l,0.0004764173415912339
650 l,0.0004764173415912339
678 l,0.0004764173415912339
105 l,0.0004764173415912339
117 l,0.0004764173415912339
572 l,0.0004764173415912339
115 l,0.0004764173415912339
409 l,0.0004764173415912339
148 l,0.00035731300619342544
469 l,0.00035731300619342544
216 l,0.00035731300619342544
458 l,0.00035731300619342544
"1,609 l",0.00035731300619342544
325 l,0.00035731300619342544
738 l,0.00035731300619342544
"1,298 l",0.00035731300619342544
640 l,0.00035731300619342544
"1,600 l",0.00035731300619342544
787 l,0.00035731300619342544
"1,560 l",0.00035731300619342544
70 l,0.00035731300619342544
689 l,0.00035731300619342544
720 l,0.00035731300619342544
352 l,0.00035731300619342544
333 l,0.00035731300619342544
326 l,0.00035731300619342544
708 l,0.00035731300619342544
553 l,0.00035731300619342544
969 l,0.00035731300619342544
560 l,0.00035731300619342544
15 l,0.00035731300619342544
"1,401 l",0.00035731300619342544
810 l,0.00035731300619342544
564 l,0.00035731300619342544
575 l,0.00035731300619342544
776 l,0.00035731300619342544
260 l,0.00035731300619342544
"1,049 l",0.00035731300619342544
"1,060 l",0.00035731300619342544
"2,006 l",0.00035731300619342544
632 l,0.00035731300619342544
620 l,0.00035731300619342544
579 l,0.00035731300619342544
871 l,0.00035731300619342544
830 l,0.00023820867079561695
636 l,0.00023820867079561695
"1,325 l",0.00023820867079561695
666 l,0.00023820867079561695
455 l,0.00023820867079561695
772 l,0.00023820867079561695
"2,199 l",0.00023820867079561695
"1,480 l",0.00023820867079561695
135 l,0.00023820867079561695
808 l,0.00023820867079561695
477 l,0.00023820867079561695
"1,295 l",0.00023820867079561695
770 l,0.00023820867079561695
35 l,0.00023820867079561695
580 l,0.00023820867079561695
621 l,0.00023820867079561695
"1,008 l",0.00023820867079561695
"1,018 l",0.00023820867079561695
685 l,0.00023820867079561695
"4,542 l",0.00023820867079561695
731 l,0.00023820867079561695
730 l,0.00023820867079561695
261 l,0.00023820867079561695
"1,098 l",0.00023820867079561695
617 l,0.00023820867079561695
490 l,0.00023820867079561695
"1,226 l",0.00023820867079561695
697 l,0.00023820867079561695
680 l,0.00023820867079561695
206 l,0.00023820867079561695
740 l,0.00023820867079561695
385 l,0.00023820867079561695
475 l,0.00023820867079561695
"1,022 l",0.00023820867079561695
712 l,0.00023820867079561695
307 l,0.00023820867079561695
540 l,0.00023820867079561695
806 l,0.00023820867079561695
432 l,0.00023820867079561695
565 l,0.00023820867079561695
727 l,0.00023820867079561695
"1,011 l",0.00023820867079561695
"1,666 l",0.00023820867079561695
878 l,0.00023820867079561695
745 l,0.00023820867079561695
"1,470 l",0.00023820867079561695
897 l,0.00023820867079561695
20 l,0.00023820867079561695
635 l,0.00023820867079561695
510 l,0.00023820867079561695
910 l,0.00023820867079561695
"1,158 l",0.00023820867079561695
694 l,0.00023820867079561695
615 l,0.00023820867079561695
880 l,0.00023820867079561695
"1,020 l",0.00023820867079561695
"3,142 l",0.00023820867079561695
859 l,0.00023820867079561695
958 l,0.00023820867079561695
760 l,0.00023820867079561695
315 l,0.00023820867079561695
710 l,0.00023820867079561695
"1,454 l",0.00023820867079561695
996 l,0.00023820867079561695
913 l,0.00023820867079561695
734 l,0.00023820867079561695
"1,575 l",0.00023820867079561695
"1,015 l",0.00023820867079561695
"2,271 l",0.00023820867079561695
"1,363 l",0.00023820867079561695
403 l,0.00023820867079561695
814 l,0.00023820867079561695
"1,166 l",0.00023820867079561695
768 l,0.00011910433539780847
272 l,0.00011910433539780847
"1,420 l",0.00011910433539780847
9 l,0.00011910433539780847
142 l,0.00011910433539780847
784 l,0.00011910433539780847
245 l,0.00011910433539780847
746 l,0.00011910433539780847
"1,400 l",0.00011910433539780847
886 l,0.00011910433539780847
255 l,0.00011910433539780847
960 l,0.00011910433539780847
113 l,0.00011910433539780847
375 l,0.00011910433539780847
"1,230 l",0.00011910433539780847
507 l,0.00011910433539780847
"1,314 l",0.00011910433539780847
516 l,0.00011910433539780847
470 l,0.00011910433539780847
364 l,0.00011910433539780847
75 l,0.00011910433539780847
"1,855 l",0.00011910433539780847
186 l,0.00011910433539780847
43 l,0.00011910433539780847
390 l,0.00011910433539780847
193 l,0.00011910433539780847
"1,140 l",0.00011910433539780847
556 l,0.00011910433539780847
954 l,0.00011910433539780847
165 l,0.00011910433539780847
961 l,0.00011910433539780847
232 l,0.00011910433539780847
172 l,0.00011910433539780847
980 l,0.00011910433539780847
270 l,0.00011910433539780847
"2,000 l",0.00011910433539780847
175 l,0.00011910433539780847
519 l,0.00011910433539780847
254 l,0.00011910433539780847
674 l,0.00011910433539780847
344 l,0.00011910433539780847
223 l,0.00011910433539780847
444 l,0.00011910433539780847
973 l,0.00011910433539780847
536 l,0.00011910433539780847
"1,832 l",0.00011910433539780847
190 l,0.00011910433539780847
234 l,0.00011910433539780847
"7,192 l",0.00011910433539780847
791 l,0.00011910433539780847
55 l,0.00011910433539780847
"1,703 l",0.00011910433539780847
690 l,0.00011910433539780847
"1,749 l",0.00011910433539780847
"1,628 l",0.00011910433539780847
"1,261 l",0.00011910433539780847
602 l,0.00011910433539780847
36 l,0.00011910433539780847
466 l,0.00011910433539780847
"1,211 l",0.00011910433539780847
382 l,0.00011910433539780847
99 l,0.00011910433539780847
485 l,0.00011910433539780847
"1,192 l",0.00011910433539780847
"1,124 l",0.00011910433539780847
288 l,0.00011910433539780847
"1,150 l",0.00011910433539780847
"1,798 l",0.00011910433539780847
145 l,0.00011910433539780847
386 l,0.00011910433539780847
"1,980 l",0.00011910433539780847
965 l,0.00011910433539780847
"1,204 l",0.00011910433539780847
8 l,0.00011910433539780847
